INDEX,CHANNEL,SAMPLE,IBD_ID,IBD_Name,Cell_ID,Cell_Name,NielsenArea,StoreTypeChannel,StoreType,Handler,BAU_XPanel,BAU_ZPanel,BAU_XUniverse,BAU_ZUniverse,BAU_XFactor,BAU_ZFactor,BAU_XZRatio,VUE_XUniverse,VUE_ZUniverse,VUE_XPanel,VUE_ZPanel,VUE_XFactor,VUE_ZFactor,VUE_XZRatio,VUE_XZDistance,XZ Proposed Distance,ADJ_XFactor,ADJ_XUniverse,VAR_XUniverse (BAU vs VUE),VAR_XUniverse (BAU vs ADJ),VAR_XFactor (BAU vs VUE),VAR_XFactor (BAU vs ADJ),VAR_ZUniverse,BAU_N Area-Channel Cell Weight,BAU_NSPC Area-Channel Cell Weight,VUE_N Area-Channel Cell Weight,VUE_NSPC Area-Channel Cell Weight,ADJ_NSPC Area-Channel Cell Weight,N Area-Channel Cell Weight diff (BAU vs VUE),NSPC Area-Channel Cell Weight diff (BAU vs VUE),NSPC Area-Channel Cell Weight diff (BAU vs ADJ),NSPC Area-Channel Cell Weight diff (VUE vs ADJ),Average BAU Universe,Average BAU Panel,Average VUE Universe,Average VUE Panel,Average ADJ Universe,DTest,NSPCTest,XFTest,SignTest,CellDiagnostic
CERVEZAS,MONT,20000211,20227881,23 SUPERMERCADOS_INDEPENDIENTES ATLA+ANTIO+SANT,10003438,115_ATLANTICO_SUR_SUPER_IND_Y_OTRAS_CAD,1:atlantico,Autoservicios,1:supermercados,1,6782,4,13092,102,1.9304,25.5,0.07570196078431372,15526,102,8043,4,1.9304,25.5,0.0757,-24.4194,-24.4194,1.9304,15526,0.1859,0.1859,0.0,0.0,0.0,0.08312958435207823,0.002072431250591637,0.08279220779220779,0.00346759951927984,0.00346759951927984,0.000337376559870442,-0.0013951682686882032,-0.0013951682686882032,0.0,128.353,1695.5,152.216,2010.75,152.216,1,1,0,1,Anomalous
CERVEZAS,MONT,20000211,20229020,39 SUPERMERCADOS CUND+EJE+CENT+LLAN+PAC,10003601,5128_PEREIRA_SUPER_IND_Y_OTRAS_CAD,5:eje_cafetero,Autoservicios,1:supermercados,1,9429,3,13223,4,1.4024,1.3333,1.0518262956573916,8914,4,6356,3,1.4024,1.3333,1.0518,0.0853,0.0853,1.4024,8914,-0.3259,-0.3259,0.0,0.0,0.0,0.003857280617164899,0.0037273485283696238,0.003816793893129771,0.0027895233588940546,0.0027895233588940546,4.048672403512803e-05,0.0009378251694755692,0.0009378251694755692,0.0,3305.75,3143.0,2228.5,2118.667,2228.5,0,1,0,1,Anomalous
CERVEZAS,MONT,20000211,20227881,23 SUPERMERCADOS_INDEPENDIENTES ATLA+ANTIO+SANT,10003548,3117_BUCARAMANGA_AREA_METRO_SUPER_IND_Y_OTRAS_CAD,3:santanderes,Autoservicios,1:supermercados,1,31126,3,112718,25,3.6213,8.3333,0.43455773823095295,120462,26,31985,3,3.7662,8.6667,0.4346,-2.2537,-2.2537,3.7662,120462,0.0687,0.0687,0.04,0.04,0.04,0.013185654008438819,0.012702749486336413,0.013619696176008382,0.013269487515036153,0.013269487515036153,-0.0004340421675695632,-0.0005667380286997394,-0.0005667380286997394,0.0,4508.72,10375.333,4633.154,10661.667,4633.154,0,0,0,0,Normal
CERVEZAS,MONT,20000211,20229020,39 SUPERMERCADOS CUND+EJE+CENT+LLAN+PAC,10003567,4120_BOGOTA_ORI_SUPER_IND_Y_OTRAS_CAD,4:cundi_boy,Autoservicios,1:supermercados,1,33143,5,822387,49,24.8133,9.8,2.531969387755102,916598,49,36939,5,24.8133,9.8,2.532,1.3529,1.3529,24.8133,916598,0.1146,0.1146,0.0,0.0,0.0,0.008703374777975134,0.02818213417039433,0.008623724040830694,0.04072579695617769,0.04072579695617769,7.965073714443979e-05,-0.012543662785783356,-0.012543662785783356,0.0,16783.408,6628.6,18706.082,7387.8,18706.082,0,0,0,1,Normal
CERVEZAS,MONT,20000211,20227881,23 SUPERMERCADOS_INDEPENDIENTES ATLA+ANTIO+SANT,10003439,116_CARTAGENA_SUPER_IND_Y_OTRAS_CAD,1:atlantico,Autoservicios,1:supermercados,1,73844,5,455144,43,6.1636,8.6,0.7166976744186047,322071,42,53498,5,6.0203,8.4,0.7167,-0.8839,-0.8839,6.0203,322071,-0.2924,-0.2924,-0.0232,-0.0232,-0.0233,0.03504482477587612,0.07204817057128629,0.03409090909090909,0.0719318075984785,0.0719318075984785,0.0009539156849670341,0.00011636297280778751,0.00011636297280778751,0.0,10584.744,14768.8,7668.357,10699.6,7668.357,0,1,0,0,Normal
CERVEZAS,MONT,20000211,20229020,39 SUPERMERCADOS CUND+EJE+CENT+LLAN+PAC,10003600,5127_PEREIRA_AREA_METRO_SUPER_IND_Y_OTRAS_CAD,5:eje_cafetero,Autoservicios,1:supermercados,1,2661,2,31809,10,11.9538,5.0,2.3907599999999998,34875,10,2917,2,11.9538,5.0,2.3908,0.8227,0.8227,11.9538,34875,0.0964,0.0964,0.0,0.0,0.0,0.009643201542912247,0.008966439487174573,0.009541984732824428,0.010913689380909822,0.010913689380909822,0.0001012168100878192,-0.0019472498937352489,-0.0019472498937352489,0.0,3180.9,1330.5,3487.5,1458.5,3487.5,0,0,0,1,Normal
CERVEZAS,MONT,20000211,20227881,23 SUPERMERCADOS_INDEPENDIENTES ATLA+ANTIO+SANT,10003514,2113_MEDELLIN_SUR_SUPER_IND_Y_OTRAS_CAD,2:antioquia_choco,Autoservicios,1:supermercados,1,49430,2,216932,13,4.3887,6.5,0.6751846153846154,250879,13,57164,2,4.3887,6.5,0.6752,-0.6803,-0.6803,4.3887,250879,0.1565,0.1565,0.0,0.0,0.0,0.004805914972273568,0.014135740959347462,0.004802364240857037,0.016616261773928127,0.016616261773928127,3.550731416530374e-06,-0.002480520814580665,-0.002480520814580665,0.0,16687.077,24715.0,19298.385,28582.0,19298.385,0,1,0,1,Anomalous
CERVEZAS,MONT,20000211,20229020,39 SUPERMERCADOS CUND+EJE+CENT+LLAN+PAC,10003626,7131_LLANOS_SUPER_IND_Y_OTRAS_CAD,7:llanos,Autoservicios,1:supermercados,1,51193,5,503066,91,9.8269,18.2,0.5399395604395605,514680,92,51805,5,9.9349,18.4,0.5399,-1.9053,-1.9053,9.9349,514680,0.0231,0.0231,0.011,0.011,0.011,0.053560918187168925,0.2012407283398578,0.05408583186360964,0.18495659083043955,0.18495659083043955,-0.0005249136764407178,0.016284137509418234,0.016284137509418234,0.0,5528.198,10238.6,5594.348,10361.0,5594.348,0,0,0,0,Normal
CERVEZAS,MONT,20000211,20227881,23 SUPERMERCADOS_INDEPENDIENTES ATLA+ANTIO+SANT,10003511,2110_MEDELLIN_NOR_SUPER_IND_Y_OTRAS_CAD,2:antioquia_choco,Autoservicios,1:supermercados,1,20308,3,627366,20,30.8926,6.6667,4.6338668306658475,217647,20,7045,3,30.8926,6.6667,4.6339,1.3583,1.3583,30.8926,217647,-0.6531,-0.6531,0.0,0.0,0.0,0.0073937153419593345,0.04088047527659349,0.007388252678241596,0.01441523414199728,0.01441523414199728,5.4626637177382364e-06,0.02646524113459621,0.02646524113459621,0.0,31368.3,6769.333,10882.35,2348.333,10882.35,0,1,0,1,Anomalous
CERVEZAS,MONT,20000211,20227881,23 SUPERMERCADOS_INDEPENDIENTES ATLA+ANTIO+SANT,10003512,2111_MEDELLIN_CEN_ALT_SUPER_IND_Y_OTRAS_CAD,2:antioquia_choco,Autoservicios,1:supermercados,1,15078,3,54502,8,3.6147,2.6667,1.3554955563055462,56086,8,15516,3,3.6147,2.6667,1.3555,0.4543,0.4543,3.6147,56086,0.0291,0.0291,0.0,0.0,0.0,0.0029574861367837337,0.0035514638401266544,0.0029553010712966383,0.0037146977541066928,0.0037146977541066928,2.1850654870953813e-06,-0.0001632339139800384,-0.0001632339139800384,0.0,6812.75,5026.0,7010.75,5172.0,7010.75,0,0,0,1,Normal
CERVEZAS,MONT,20000211,20227881,23 SUPERMERCADOS_INDEPENDIENTES ATLA+ANTIO+SANT,10003515,2114_CHOCO_SUPER_IND_Y_OTRAS_CAD,2:antioquia_choco,Autoservicios,1:supermercados,1,15278,2,32085,20,2.1001,10.0,0.21000999999999997,23201,21,10521,2,2.2051,10.5,0.21,-5.3198,-5.3198,2.2051,23201,-0.2769,-0.2769,0.05,0.05,0.05,0.0073937153419593345,0.0020907254286166325,0.007757665312153676,0.0015366526868207642,0.0015366526868207642,-0.00036394997019434123,0.0005540727417958683,0.0005540727417958683,0.0,1604.25,7639.0,1104.81,5260.5,1104.81,1,1,1,1,Anomalous
CERVEZAS,MONT,20000211,20229020,39 SUPERMERCADOS CUND+EJE+CENT+LLAN+PAC,10003643,8136_CALI_AREA_METRO_SUPER_IND_Y_OTRAS_CAD,8:pacifico,Autoservicios,1:supermercados,1,41520,3,445779,35,10.7365,11.6667,0.9202687992320021,545660,36,49411,3,11.0432,12.0,0.9203,-0.1501,-0.1501,11.0432,545660,0.2241,0.2241,0.0286,0.0286,0.0286,0.017967145790554414,0.03734731429748177,0.018376722817764167,0.05880846628088991,0.05880846628088991,-0.00040957702720975306,-0.021461151983408144,-0.021461151983408144,0.0,12736.543,13840.0,15157.222,16470.333,15157.222,0,1,0,0,Normal
CERVEZAS,MONT,20000211,20229020,39 SUPERMERCADOS CUND+EJE+CENT+LLAN+PAC,10003642,8135_VALLE_DEL_CAUCA_SUPER_IND_Y_OTRAS_CAD,8:pacifico,Autoservicios,1:supermercados,1,33878,5,836184,48,24.6822,9.6,2.5710625000000005,859353,49,34106,5,25.1964,9.8,2.5711,1.3664,1.3664,25.1964,859353,0.0277,0.0277,0.0208,0.0208,0.0208,0.024640657084188913,0.07005540112595142,0.025012761613067893,0.0926167062344346,0.0926167062344346,-0.0003721045288789804,-0.022561305108483184,-0.022561305108483184,0.0,17420.5,6775.6,17537.816,6821.2,17537.816,0,0,0,0,Normal
CERVEZAS,MONT,20000211,20229020,39 SUPERMERCADOS CUND+EJE+CENT+LLAN+PAC,10003510,1901_BOGOTA_AREA_METRO_SUPER_IND_Y_OTRAS_CAD,4:cundi_boy,Autoservicios,1:supermercados,1,21880,5,371853,104,16.9951,20.8,0.8170721153846154,369696,106,21342,5,17.3219,21.2,0.8171,-0.5006,-0.5006,17.3219,369696,-0.0058,-0.0058,0.0192,0.0192,0.0192,0.01847246891651865,0.012742919255367172,0.018655403027103133,0.01642613690135814,0.01642613690135814,-0.00018293411058448172,-0.0036832176459909664,-0.0036832176459909664,0.0,3575.51,4376.0,3487.698,4268.4,3487.698,0,0,0,1,Normal
CERVEZAS,MONT,20000211,20229020,39 SUPERMERCADOS CUND+EJE+CENT+LLAN+PAC,10003640,8133_PUTUMAYO_SUPER_IND_Y_OTRAS_CAD,8:pacifico,Autoservicios,1:supermercados,1,22972,5,547043,60,23.8135,12.0,1.9844583333333334,518808,60,21786,5,23.8135,12.0,1.9845,1.1093,1.1093,23.8135,518808,-0.0516,-0.0516,0.0,0.0,0.0,0.030800821355236138,0.04583120078612344,0.030627871362940276,0.05591449396007758,0.05591449396007758,0.00017294999229586216,-0.010083293173954143,-0.010083293173954143,0.0,9117.383,4594.4,8646.8,4357.2,8646.8,0,0,0,1,Normal
CERVEZAS,MONT,20000211,20229020,39 SUPERMERCADOS CUND+EJE+CENT+LLAN+PAC,10003627,7132_VILLAVICENCIO_SUPER_IND_Y_OTRAS_CAD,7:llanos,Autoservicios,1:supermercados,1,5507,3,90731,34,16.4756,11.3333,1.453733687452022,131347,34,7972,3,16.4756,11.3333,1.4537,0.5406,0.5406,16.4756,131347,0.4477,0.4477,0.0,0.0,0.0,0.020011771630370805,0.03629498420287525,0.019988242210464434,0.0472011605964983,0.0472011605964983,2.352941990637139e-05,-0.010906176393623054,-0.010906176393623054,0.0,2668.559,1835.667,3863.147,2657.333,3863.147,0,1,0,1,Anomalous
CERVEZAS,MONT,20000211,20229020,39 SUPERMERCADOS CUND+EJE+CENT+LLAN+PAC,10003628,7140_META_SUPER_IND_Y_OTRAS_CAD,7:llanos,Autoservicios,1:supermercados,1,2530,3,5887,19,2.3269,6.3333,0.3674071968799836,15406,19,6621,3,2.3269,6.3333,0.3674,-2.9822,-2.9822,2.3269,15406,1.617,1.617,0.0,0.0,0.0,0.011183048852266038,0.0023549676736983674,0.011169900058788948,0.005536335661641704,0.005536335661641704,1.3148793477090609e-05,-0.0031813679879433366,-0.0031813679879433366,0.0,309.842,843.333,810.842,2207.0,810.842,0,1,0,1,Anomalous
CERVEZAS,MONT,20000211,20229020,39 SUPERMERCADOS CUND+EJE+CENT+LLAN+PAC,10003641,8134_PACIFICO_SUPER_IND_Y_OTRAS_CAD,8:pacifico,Autoservicios,1:supermercados,1,73557,5,902263,37,12.2662,7.4,1.6575945945945945,686224,38,54472,5,12.5977,7.6,1.6576,0.8871,0.8871,12.5977,686224,-0.2394,-0.2394,0.027,0.027,0.027,0.018993839835728953,0.07559149228651146,0.019397651863195507,0.07395774102030092,0.07395774102030092,-0.00040381202746655326,0.0016337512662105425,0.0016337512662105425,0.0,24385.486,14711.4,18058.526,10894.4,18058.526,0,1,0,1,Anomalous
CERVEZAS,MONT,20000211,20229020,39 SUPERMERCADOS CUND+EJE+CENT+LLAN+PAC,10003509,1900_CUNDINAMARCA_SUPER_IND_Y_OTRAS_CAD,4:cundi_boy,Autoservicios,1:supermercados,1,36223,4,1123851,189,31.0259,47.25,0.6566328042328042,627984,190,20134,4,31.1901,47.5,0.6566,-1.0458,-1.0458,31.1901,627984,-0.4412,-0.4412,0.0053,0.0053,0.0053,0.03357015985790408,0.03851291383440137,0.03343892995424146,0.02790225254225766,0.02790225254225766,0.0001312299036626205,0.010610661292143709,0.010610661292143709,0.0,5946.302,9055.75,3305.179,5033.5,3305.179,0,1,0,1,Anomalous
CERVEZAS,MONT,20000211,20227881,23 SUPERMERCADOS_INDEPENDIENTES ATLA+ANTIO+SANT,10003549,3118_BUCARAMANGA_SUPER_IND_Y_OTRAS_CAD,3:santanderes,Autoservicios,1:supermercados,1,22063,5,609623,53,27.631,10.6,2.606698113207547,447434,53,16193,5,27.631,10.6,2.6067,1.3783,1.3783,27.631,447434,-0.266,-0.266,0.0,0.0,0.0,0.027953586497890294,0.06870143411086839,0.02776322682032478,0.04928707706000802,0.04928707706000802,0.00019035967756551517,0.01941435705086037,0.01941435705086037,0.0,11502.321,4412.6,8442.151,3238.6,8442.151,0,1,0,1,Anomalous
CERVEZAS,MONT,20000211,20229020,39 SUPERMERCADOS CUND+EJE+CENT+LLAN+PAC,10003566,4119_BOGOTA_NOR_SUPER_IND_Y_OTRAS_CAD,4:cundi_boy,Autoservicios,1:supermercados,1,63449,5,823722,152,12.9824,30.4,0.4270526315789474,770127,156,57799,5,13.324,31.2,0.4271,-3.0,-3.0,13.324,770127,-0.0651,-0.0651,0.0263,0.0263,0.0263,0.02699822380106572,0.028227882886166195,0.027455121436114043,0.0342178750471529,0.0342178750471529,-0.0004568976350483242,-0.005989992160986706,-0.005989992160986706,0.0,5419.224,12689.8,4936.712,11559.8,4936.712,0,0,0,1,Normal
CERVEZAS,MONT,20000211,20229020,39 SUPERMERCADOS CUND+EJE+CENT+LLAN+PAC,10003568,4121_BOGOTA_OCC_SUPER_IND_Y_OTRAS_CAD,4:cundi_boy,Autoservicios,1:supermercados,1,17468,2,2125016,135,121.6519,67.5,1.8022503703703703,1902580,135,15639,2,121.6519,67.5,1.8023,0.6295,0.6295,121.6519,1902580,-0.1047,-0.1047,0.0,0.0,0.0,0.023978685612788632,0.07282153782371885,0.02375923970432946,0.08453442705841005,0.08453442705841005,0.00021944590845917114,-0.011712889234691201,-0.011712889234691201,0.0,15740.859,8734.0,14093.185,7819.5,14093.185,0,0,0,1,Normal
CERVEZAS,MONT,20000211,20227881,23 SUPERMERCADOS_INDEPENDIENTES ATLA+ANTIO+SANT,10003440,117_ATLANTICO_NOR_RESTO_SUPER_IND_Y_OTRAS_CAD,1:atlantico,Autoservicios,1:supermercados,1,172619,6,2151316,91,12.4628,15.1667,0.8217212709422617,910685,91,73072,6,12.4628,15.1667,0.8217,-0.5314,-0.5314,12.4628,910685,-0.5767,-0.5767,0.0,0.0,0.0,0.07416462917685411,0.34054800704993876,0.07386363636363637,0.20339371816407065,0.20339371816407065,0.00030099281321774307,0.13715428888586811,0.13715428888586811,0.0,23640.835,28769.833,10007.527,12178.667,10007.527,0,1,0,1,Anomalous
CERVEZAS,MONT,20000211,20229020,39 SUPERMERCADOS CUND+EJE+CENT+LLAN+PAC,10003599,5126_EJE_CAFETERO_SUPER_IND_Y_OTRAS_CAD,5:eje_cafetero,Autoservicios,1:supermercados,1,47170,5,482588,107,10.2308,21.4,0.47807476635514023,572158,107,55925,5,10.2308,21.4,0.4781,-2.4412,-2.4412,10.2308,572158,0.1856,0.1856,0.0,0.0,0.0,0.10318225650916105,0.13603370427352643,0.10209923664122138,0.17904959681154414,0.17904959681154414,0.001083019867939669,-0.043015892538017714,-0.043015892538017714,0.0,4510.168,9434.0,5347.271,11185.0,5347.271,0,1,0,1,Anomalous
CERVEZAS,MONT,20000211,20227881,23 SUPERMERCADOS_INDEPENDIENTES ATLA+ANTIO+SANT,10003434,111_ATLANTICO_NOR_SUPER_IND_Y_OTRAS_CAD,1:atlantico,Autoservicios,1:supermercados,1,1080,3,48709,35,45.1009,11.6667,3.8657803834846187,94524,35,2095,3,45.1009,11.6667,3.8658,1.284,1.284,45.1009,94524,0.9406,0.9406,0.0,0.0,0.0,0.02852485737571312,0.007710514343497407,0.028409090909090908,0.021111128233956434,0.021111128233956434,0.00011576646662221288,-0.013400613890459028,-0.013400613890459028,0.0,1391.686,360.0,2700.686,698.333,2700.686,0,1,0,1,Anomalous
CERVEZAS,MONT,20000211,20231329,50 RESTAURANTE + PANADERIAS PACIFICO,10003702,19021_CALI_NOR_RESTAURANTES,8:pacifico,Consumo Local,15:restaurante,1,8196,6,948516,556,115.7291,92.6667,1.2488747306206005,894972,555,7747,6,115.5209,92.5,1.2489,0.4881,0.4881,115.5209,894972,-0.0565,-0.0565,-0.0018,-0.0018,-0.0018,0.0451591942820013,0.010314911042597526,0.045391347018892615,0.009961084664500507,0.009961084664500507,-0.00023215273689131816,0.00035382637809701876,0.00035382637809701876,0.0,1705.964,1366.0,1612.562,1291.167,1612.562,0,0,0,0,Normal
CERVEZAS,MONT,20000211,20227881,23 SUPERMERCADOS_INDEPENDIENTES ATLA+ANTIO+SANT,10003468,218_ANTIOQUIA_SUPER_IND_Y_OTRAS_CAD,2:antioquia_choco,Autoservicios,1:supermercados,1,53931,4,2638790,99,48.929,24.75,1.976929292929293,1370603,100,27731,4,49.4232,25.0,1.9769,0.9883,0.9883,49.4232,1370603,-0.4806,-0.4806,0.0101,0.0101,0.0101,0.036598890942698706,0.1719490526345421,0.03694126339120798,0.09077801743522261,0.09077801743522261,-0.0003423724485092719,0.0811710351993195,0.0811710351993195,0.0,26654.444,13482.75,13706.03,6932.75,13706.03,0,1,0,1,Anomalous
CERVEZAS,MONT,20000211,20227881,23 SUPERMERCADOS_INDEPENDIENTES ATLA+ANTIO+SANT,10003469,219_MEDELLIN_AREA_METRO_SUPER_IND_Y_OTRAS_CAD,2:antioquia_choco,Autoservicios,1:supermercados,1,17511,5,230907,44,13.1864,8.8,1.4984545454545455,265805,45,19709,5,13.4861,9.0,1.4985,0.7438,0.7438,13.4861,265805,0.1511,0.1511,0.0227,0.0227,0.0227,0.016266173752310535,0.015046381067339278,0.016623568526043592,0.017604843214533563,0.017604843214533563,-0.00035739477373305725,-0.0025584621471942855,-0.0025584621471942855,0.0,5247.886,3502.2,5906.778,3941.8,5906.778,0,1,0,0,Normal
