MbdID,INDEX,MbdName,CategoryName,Numerical Distribution
20004053,CERVEZAS,SUPERMERCADOS INDEPENDIENTES (SUP+MIN) EJE CAFETERO,CERVEZAS,1
20003884,CERVEZAS,CONS LOCAL C/MARCA ANTIG DEF,CERVEZAS,0.5216
20003901,CERVEZAS,TRADICIONALES + LICORERIAS ANTIOQUIA ANTIG DEF,CERVEZAS,0.8814
20083338,CERVEZAS,CONS LOCAL LLANOS,CERVEZAS,0.5793
20083545,CERVEZAS,AUTOSERVICIOS CENTRO ANTIG DEF,CERVEZAS,1
20199124,CERVEZAS,DPTO VALLE DEL CAUCA,CERVEZAS,0.717
20003982,CERVEZAS,TOTAL MEDELLIN TRADICIONALES,CERVEZAS,0.9018
20083715,CERVEZAS,TRADICIONALES + CONS LOCAL COLOMBIA,CERVEZAS,0.6356
20003911,CERVEZAS,TOTAL  MEDELLIN,CERVEZAS,0.7758
20083412,CERVEZAS,CONSUMO LOCAL COLOMBIA,CERVEZAS,0.5581
20199286,CERVEZAS,AM CARTAGENA RESTO,CERVEZAS,1
20083614,CERVEZAS,TOTAL SANTANDERES CONVENIENCE,CERVEZAS,1
20004051,CERVEZAS,SUPERMERCADOS INDEPENDIENTES (SUP+MIN) LLANOS,CERVEZAS,1
20201475,CERVEZAS,AM BARRANQUILLA ON PREMISE_CERV,CERVEZAS,0.523
20199296,CERVEZAS,AM BOGOTA RESTO,CERVEZAS,1
20201479,CERVEZAS,AM CUCUTA TRADICIONALES_CERV,CERVEZAS,0.7006
20021662,CERVEZAS,LICORERIAS R/COLOMBIA,CERVEZAS,1
20003988,CERVEZAS,TOTAL BOGOTA TRADICIONALES,CERVEZAS,0.7638
20201476,CERVEZAS,AM CUCUTA RESTO_CERV_SCAN,CERVEZAS,1
20083600,CERVEZAS,AUTOSERVICIOS ORIENTE ANTIG DEF,CERVEZAS,1
20083563,CERVEZAS,TOTAL BARRANQUILLA ORIENTE,CERVEZAS,0.6333
20083214,CERVEZAS,SUPERMERCADOS INDEPENDIENTES (SUP+MIN) COLOMBIA,CERVEZAS,1
20003964,CERVEZAS,TOTAL CARTAGENA METRO,CERVEZAS,0.651
20126420,CERVEZAS,NEW_TOTAL CALI SUR_75,CERVEZAS,0.6446
20083666,CERVEZAS,CONS LOCAL ORIENTE ANTIG DEF,CERVEZAS,0.5869
20083612,CERVEZAS,TOTAL  CALI   NORTE,CERVEZAS,0.6493
20083394,CERVEZAS,SANTANDERES TRADICIONALES + CONS LOCAL,CERVEZAS,0.6443
20199307,CERVEZAS,AM PEREIRA RESTO,CERVEZAS,1
